Date,Open,High,Low,Close,Adj Close,Volume,RSI,ATR,WMA,PlusDI,MinusDI,ADX,ROC_5,ROC_10,ROC_20,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_200,UpperBand,LowerBand,Tomorrow,ROI,Target,TargetClass
2011-03-30,87.4800033569336,87.4800033569336,87.4800033569336,87.4800033569336,87.4800033569336,0,39.20269149074589,0.7842859540666852,86.42495291573661,39.67562915815574,42.18292143825308,25.787899005877694,3.957221355522611,0.2061859093739793,-6.036514725346298,87.44449996948242,89.31080032348633,94.3189501953125,87.20884133357467,88.65139134082347,92.85395080787623,92.53964625071998,82.34935368824486,86.86000061035156,-0.7087365372544768,-0.6200027465820312,0
2011-03-31,86.86000061035156,86.86000061035156,86.86000061035156,86.86000061035156,86.86000061035156,0,38.270299517163224,0.7714287894112724,86.02342936197917,37.45568305499431,45.563452999511256,24.198887289339748,2.574398083749818,1.8646699072134343,-6.441184794724575,87.14550018310547,89.25300033569336,94.2640502166748,87.17561840755343,88.58114072394221,92.79430951237848,91.56447101407342,82.72652935213752,86.91000366210938,0.057567408941341144,0.0500030517578125,1
2011-04-04,86.91000366210938,86.91000366210938,86.91000366210938,86.91000366210938,86.91000366210938,0,42.99404086421174,0.7071435110909599,85.7374292282831,38.447176175002475,46.15515530882058,23.164632848138066,1.3645974195134025,3.1327959228774738,-5.388631521176346,86.89800033569335,89.1986004638672,94.18850025177002,87.15032176513019,88.51560593720367,92.73575920541063,90.71922943162319,83.07677123976352,86.88999938964844,-0.023017226576943377,-0.0200042724609375,0
2011-04-05,86.88999938964844,86.88999938964844,86.88999938964844,86.88999938964844,86.88999938964844,0,45.157222564504146,0.678572518484933,85.50009547642298,37.204120917210005,44.87346046445543,22.161979021931963,0.0460574740703823,2.8527414026399356,-3.530587671755614,86.73900032043457,89.16260040283203,94.10965023040771,87.12552915794144,88.45185666082895,92.6775924410747,90.25711509821494,83.2208855426542,85.81999969482422,-1.2314417106000028,-1.0699996948242188,0
2011-04-06,86.62000274658203,86.73999786376953,85.81999969482422,85.81999969482422,85.81999969482422,12000,41.45497217393908,0.7292867388044085,85.29666653587705,32.14432457680406,49.250533548119755,21.305961956045188,-1.4469477603767378,1.7306769486835405,-4.058130103143965,86.55750045776367,89.08900039672852,94.02125022888184,87.00119301859695,88.34864658373073,92.60935768738065,89.85431201094558,83.26068890458176,85.88999938964844,0.08156571320570678,0.06999969482421875,1
2011-04-07,85.88999938964844,85.88999938964844,85.88999938964844,85.88999938964844,85.88999938964844,0,54.62687246992376,0.5371437072753906,85.36980990455264,40.52541178744565,62.091774491016594,21.28527367984126,-1.8175627643698955,2.0677336092910448,-3.2879160558683673,86.4115005493164,89.02460037231445,93.95090023040771,86.8953650539352,88.2522290467079,92.54249840083607,89.5427718735392,83.2802292250936,85.41999816894531,-0.5472129747852461,-0.470001220703125,0
2011-04-08,85.41999816894531,85.41999816894531,85.41999816894531,85.41999816894531,85.41999816894531,0,59.31926743224144,0.4992866516113281,85.58723900204613,40.48398745270969,68.75220322589291,21.290867961026823,-1.6578430017126222,0.8738756035695294,-4.483956303865055,86.21100044250488,88.87840026855469,93.87825023651124,86.7548539220314,88.14116116914859,92.47162775176253,89.02602837881777,83.395972506192,84.87999725341797,-0.6321715372310353,-0.5400009155273438,0
2011-04-11,84.87999725341797,84.87999725341797,84.87999725341797,84.87999725341797,84.87999725341797,0,53.076868903834644,0.5200010027204242,85.78047667003813,36.09477713863836,68.71577979949126,21.645289143393956,-2.3357569015687862,-1.0030331604602982,-4.661351884511033,86.00350036621094,88.7102001953125,93.79895023345948,86.57629614406821,88.01327238813954,92.39608913983871,88.54181759054171,83.46518314188017,84.51000213623047,-0.43590378081992803,-0.3699951171875,0
2011-04-13,84.51000213623047,84.51000213623047,84.51000213623047,84.51000213623047,84.51000213623047,0,51.111121158039055,0.4992861066545759,85.99114329020182,34.90714851643198,71.74802361241403,22.339764431903333,-2.7390922662401396,-2.694296348880054,-4.05313308425197,85.82500038146972,88.53840026855468,93.73045024871826,86.37950623855986,87.87588924100585,92.31762061243963,88.24795820034542,83.40204256259402,84.08000183105469,-0.5088158730402337,-0.43000030517578125,0
2011-04-14,84.08000183105469,84.08000183105469,84.08000183105469,84.08000183105469,84.08000183105469,0,49.49785074646471,0.4978577750069754,86.22914312453497,32.50677394444143,72.9835973975661,23.23088741536199,-2.0274969353961336,-3.4451078742744445,-4.083962675673636,85.646000289917,88.36600036621094,93.66900024414062,86.16050581879746,87.72703091120385,92.23565425640595,88.02675223029728,83.26524834953672,84.55999755859375,0.5708797776949828,0.4799957275390625,1
